UnitID,Institution Name,Sector of institution (HD2018),Level of institution (HD2018),Control of institution (HD2018),Degree-granting status (HD2018),Degree of urbanization (Urban-centric locale) (HD2018),Tribal college (HD2018),Historically Black College or University (HD2018),Graduation rate  total cohort (DRVGR2017_RV),Graduation rate  men (DRVGR2017_RV),Graduation rate  women (DRVGR2017_RV),Graduation rate  American Indian or Alaska Native (DRVGR2017_RV),Graduation rate  Asian/Native Hawaiian/Other Pacific Islander (DRVGR2017_RV),Graduation rate  Asian (DRVGR2017_RV),Graduation rate  Native Hawaiian or Other Pacific Islander (DRVGR2017_RV),Graduation rate  Black  non-Hispanic (DRVGR2017_RV),Graduation rate  Hispanic (DRVGR2017_RV),Graduation rate  White  non-Hispanic (DRVGR2017_RV),Graduation rate  Nonresident alien (DRVGR2017_RV),Graduation rate  Race/ethnicity unknown (DRVGR2017_RV),Graduation rate  two or more races (DRVGR2017_RV),Graduation rate - Bachelor degree within 4 years  total (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  total (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  men (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  women (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  American Indian or Alaska Native (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  Asian/Native Hawaiian/Pacific Islander (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  Asian (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  Native Hawaiian or Other Pacific Islander (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  Black  non-Hispanic (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  Hispanic (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  White  non-Hispanic (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  two or more races (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  Race/ethnicity unknown (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  Nonresident alien (DRVGR2017_RV)
458210,West Coast University-Orange County,"Private for-profit, 4-year or above",Four or more years,Private for-profit,Degree-granting,City: Large,No,No,50.0,33.0,58.0,,62.0,60.0,67.0,,50.0,40.0,,0.0,50.0,46.0,50.0,33.0,58.0,,62.0,60.0,67.0,,50.0,40.0,50.0,0.0,
125462,West Hills College-Coalinga,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,Town: Distant,No,No,29.0,27.0,31.0,0.0,17.0,0.0,33.0,19.0,27.0,28.0,56.0,0.0,80.0,,,,,,,,,,,,,,
448594,West Hills College-Lemoore,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,Rural: Fringe,No,No,37.0,30.0,42.0,67.0,25.0,27.0,0.0,11.0,37.0,42.0,0.0,50.0,23.0,,,,,,,,,,,,,,
448637,West Hills Community College District,Administrative Unit,At least 2 but less than 4 years,Public,Degree-granting,Town: Distant,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
125471,West Los Angeles College,"Public, 4-year or above",Four or more years,Public,Degree-granting,Suburb: Large,No,No,16.0,13.0,18.0,,27.0,24.0,100.0,10.0,17.0,26.0,21.0,11.0,14.0,,,,,,,,,,,,,,
125499,West Valley College,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,Suburb: Large,No,No,32.0,27.0,37.0,0.0,35.0,36.0,0.0,32.0,31.0,33.0,27.0,20.0,36.0,,,,,,,,,,,,,,
125222,West Valley Mission Community College District Office,Administrative Unit,At least 2 but less than 4 years,Public,Degree-granting,Suburb: Large,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
486141,Westchester College of Nursing & Allied Health,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",City: Large,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
490133,Westcliff University,"Private for-profit, 4-year or above",Four or more years,Private for-profit,Degree-granting,City: Large,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
112525,Western University of Health Sciences,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,Suburb: Large,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
125718,Westminster Theological Seminary in California,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,Suburb: Large,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
125727,Westmont College,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,Suburb: Midsize,No,No,75.0,75.0,75.0,0.0,86.0,85.0,100.0,50.0,76.0,75.0,0.0,60.0,79.0,73.0,75.0,75.0,75.0,0.0,86.0,85.0,100.0,50.0,76.0,75.0,79.0,60.0,0.0
125763,Whittier College,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,Suburb: Large,No,No,69.0,61.0,76.0,100.0,78.0,77.0,100.0,63.0,73.0,66.0,45.0,33.0,68.0,62.0,69.0,61.0,76.0,100.0,78.0,77.0,100.0,63.0,73.0,66.0,68.0,33.0,45.0
122728,William Jessup University,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,Rural: Fringe,No,No,64.0,63.0,65.0,100.0,80.0,67.0,100.0,67.0,58.0,64.0,,,50.0,51.0,64.0,61.0,65.0,,80.0,67.0,100.0,67.0,58.0,64.0,50.0,,
125897,Woodbury University,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,City: Large,No,No,52.0,43.0,57.0,50.0,50.0,57.0,0.0,29.0,42.0,76.0,39.0,,20.0,26.0,52.0,43.0,57.0,50.0,50.0,57.0,0.0,29.0,42.0,76.0,20.0,,39.0
455512,Woodland Community College,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,Suburb: Small,No,No,21.0,20.0,23.0,,27.0,29.0,0.0,50.0,17.0,31.0,0.0,0.0,14.0,,,,,,,,,,,,,,
401223,World Mission University,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,City: Large,No,No,20.0,17.0,25.0,,0.0,0.0,,,,,29.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0
481289,Xavier College School of Nursing,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",City: Large,No,No,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,
126076,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,City: Large,No,No,32.0,32.0,,,,,,,,38.0,0.0,,,32.0,32.0,32.0,,,,,,,,38.0,,,0.0
401250,Yo San University of Traditional Chinese Medicine,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,Suburb: Large,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
126100,Yosemite Community College District Office,Administrative Unit,Four or more years,Public,Degree-granting,City: Midsize,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
126119,Yuba College,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,Suburb: Midsize,No,No,23.0,20.0,27.0,43.0,31.0,30.0,33.0,8.0,26.0,21.0,0.0,29.0,13.0,,,,,,,,,,,,,,
486248,ZMS The Academy,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",City: Large,No,No,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,
